gene	score
FN1	0.00019599953551319076
EFTUD2	0.00019595518421828214
ATP5F1D	0.0001958830790681396
RPS9	0.00019577226198764047
PRDX3	0.00019574313430572853
RPS20	0.0001957268135545332
RPL8	0.00019569076969801983
CSTF3	0.0001955947423800017
GPD2	0.00019543083947452266
PRPS1	0.00019519937802779135
GLO1	0.0001951757413837158
CBS	0.00019510638722164162
CD44	0.0001950696772012119
KARS1	0.00019504937819614333
GFM1	0.00019493042536187976
TCP1	0.0001948074299627496
PRDX2	0.0001947928711063066
MARS1	0.00019471453771403963
HSP90B1	0.00019467181096886129
RPL3	0.00019465287796389244
PPA2	0.0001946383065273458
VARS1	0.0001945680643033619
CCT2	0.00019456394485843203
RPL13A	0.0001945504248703113
IDH3G	0.00019453262848065096
ANXA2	0.00019446594545124174
TYMS	0.00019438457886230065
EIF5B	0.000194349644356835
CCT5	0.00019429240081687008
PPIA	0.00019419294311970772
ACTG1	0.00019412459606690867
RPL11	0.00019410374805692038
UQCRC1	0.00019391335502233668
PDIA3	0.0001938464240546643
RPS5	0.00019379457943763723
TSFM	0.00019368693332359144
CALR	0.00019347510064875192
AK2	0.0001934353494763557
RPS13	0.00019313413784538867
POTEF	0.00019311137453938688
POLR2C	0.0001930478504534953
RHOA	0.00019304652344394435
SOX2	0.0001930203391136522
UQCRC2	0.00019301525033574705
PLG	0.0001929455579731821
YWHAE	0.00019290557471715166
CA9	0.00019290373655738598
CCT3	0.00019263853457573494
IMP3	0.0001924422989970307
RPS15	0.00019236827467907563
YWHAB	0.0001923581459996995
CCT6A	0.0001923417101927224
PFN1	0.0001923325940721473
PDK3	0.0001921705078806314
AHCY	0.000191993493924143
TUBB	0.00019197142739741022
CFL1	0.00019193826575903517
PSMD14	0.00019177587645083125
EEF1A2	0.00019175623403018215
YWHAQ	0.00019163944978240467
FLNA	0.00019161302096840606
YWHAG	0.000191450254218041
PAICS	0.00019135663001354082
RPS4X	0.00019133364465953132
PEBP1	0.00019131402764463264
TK1	0.0001912238345791782
P4HA1	0.00019103067820502149
PSMC3	0.0001908226705317942
MRRF	0.00019082131388866618
TUBA1B	0.0001907966688751243
MB	0.00019076117806858116
RNASEH1	0.00019060405887835332
TUBA1A	0.00019054157737269145
SLC25A5	0.00019046073186597103
RPL19	0.0001904490961069811
TUBA1C	0.0001904251159202949
SEC61A1	0.000190416120341325
AGR2	0.00019035723725898592
TUBB2A	0.00019026217551943106
TUBB4B	0.00019021522380151024
HNRNPA2B1	0.00019018326186200448
H2BC21	0.00019018204881433395
B2M	0.00019016787513438625
VIM	0.00019001597544385948
AK3	0.0001898703930501557
PSMC4	0.00018961235671486996
TUBA4A	0.00018948352198612585
H2AX	0.00018944626901867522
PRDX4	0.00018920431107921284
TUBB6	0.00018919485862432396
MRTFA	0.00018912062788177333
AK4	0.0001890173553736437
PPIB	0.0001886452008374429
MYH9	0.00018853986603440298
PSMC6	0.0001883278240509713
ADH1A	0.00018830303797169796
SFN	0.00018827346536025609
MIF	0.00018808983716001352
PRDX5	0.0001880725880975401
STMN1	0.00018777336524134606
STIP1	0.00018758313307633162
FLNB	0.0001875067168470677
TOP2B	0.0001868590521729372
PLEC	0.0001865610708979419
RPEL1	0.0001199465342375302
ME1	0.00011946822129943386
ME3	0.00011833267575721253
ME2	0.00011776149850518375
GLA	0.0001164471430887385
ASS1	0.00011617984519324379
GLUD2	0.0001150307020471559
GK2	0.00011394657791845007
UBC	0.00011384203690822871
RPS27A	0.00011382574133630779
GK	0.00011371963034148647
PUDP	0.00011349047933297929
GPD1	0.00011347444238404012
HPRT1	0.00011342805560342859
ALDH5A1	0.0001133521243224879
UMPS	0.00011333892744858793
BNIP3	0.00011329869443210379
RBM45	0.0001131274838177584
GMPPB	0.00011307550924982742
UBB	0.00011290730891261473
ADK	0.00011289105522807788
H3-3B	0.00011285233634941742
PRPS1L1	0.00011270295076936639
H3C13	0.000112652785400946
OXSM	0.00011260750186220474
H3C12	0.00011257610212125382
TFRC	0.0001125336135941188
RPS6	0.00011245052654735832
H3-4	0.00011223126123111553
H3-5	0.00011186071749009143
H3-7	0.00011167571608849189
EGLN1	0.00011164490373142688
DPM1	0.00011133641093297628
APRT	0.00011119451092429691
TGFB1	0.00011104630813941162
GUSB	0.00011088589109775206
SUMO2	0.00011052099929988247
POLR1B	0.00011046708180124801
YBX1	0.00011016643509549646
AR	0.00011005303759561203
SIRT2	0.0001099863627379541
RAN	0.00010963061027522297
SLC4A1	0.00010961627040268243
TBP	0.00010950705162623034
BECN1	0.00010938376797175179
CXCR4	0.00010937108925662764
